"site_id","snotel_id","stationTriplet","elevation","latitude","longitude","in_basin","huc"
"american_river_folsom_lake",846,"846:CA:SNTL",9400,38.07298,-119.23433,FALSE,"160503"
"animas_r_at_durango",327,"327:CO:SNTL",11600,37.71433,-107.5124,FALSE,"130100"
"animas_r_at_durango",586,"586:CO:SNTL",10193,37.79895,-107.92475,FALSE,"140300"
"animas_r_at_durango",629,"629:CO:SNTL",10046,37.84737,-107.72657,TRUE,"140801"
"animas_r_at_durango",713,"713:CO:SNTL",11080,37.89168,-107.71389,TRUE,"140801"
"boise_r_nr_boise",830,"830:ID:SNTL",7770,43.62903,-115.43818,TRUE,"170501"
"boise_r_nr_boise",306,"306:ID:SNTL",7580,43.7569,-115.23907,TRUE,"170501"
"boise_r_nr_boise",550,"550:ID:SNTL",7070,44.05092,-115.44322,FALSE,"170501"
"boise_r_nr_boise",845,"845:ID:SNTL",8960,43.79942,-114.85273,FALSE,"170602"
"boysen_reservoir_inflow",525,"525:WY:SNTL",10100,42.86984,-109.09455,TRUE,"100800"
"boysen_reservoir_inflow",506,"506:WY:SNTL",8750,43.38939,-110.12943,FALSE,"170401"
"boysen_reservoir_inflow",350,"350:WY:SNTL",9780,44.37667,-109.79333,FALSE,"100800"
"boysen_reservoir_inflow",786,"786:WY:SNTL",8620,43.03313,-109.17025,TRUE,"100800"
"colville_r_at_kettle_falls",376,"376:WA:SNTL",5000,48.68688,-117.17633,FALSE,"170102"
"colville_r_at_kettle_falls",707,"707:WA:SNTL",4700,47.87927,-117.08938,FALSE,"170103"
"colville_r_at_kettle_falls",738,"738:ID:SNTL",6090,48.37428,-116.63917,FALSE,"170102"
"detroit_lake_inflow",614,"614:OR:SNTL",2590,44.59397,-121.97365,TRUE,"170900"
"detroit_lake_inflow",584,"584:OR:SNTL",4020,44.61297,-122.22565,FALSE,"170900"
"detroit_lake_inflow",687,"687:OR:SNTL",3420,45.04148,-121.93252,FALSE,"170900"
"detroit_lake_inflow",655,"655:OR:SNTL",4070,45.25362,-121.73673,FALSE,"170800"
"dillon_reservoir_inflow",542,"542:CO:SNTL",10598,39.07543,-106.61154,FALSE,"140100"
"dillon_reservoir_inflow",505,"505:CO:SNTL",11139,39.64646,-105.8694,TRUE,"140100"
"dillon_reservoir_inflow",485,"485:CO:SNTL",11326,39.38014,-106.19784,FALSE,"140100"
"dillon_reservoir_inflow",415,"415:CO:SNTL",10523,39.48917,-106.17154,TRUE,"140100"
"fontenelle_reservoir_inflow",761,"761:ID:SNTL",7225,42.56248,-111.29797,FALSE,"170402"
"fontenelle_reservoir_inflow",597,"597:WY:SNTL",8240,43.17387,-110.14007,TRUE,"140401"
"fontenelle_reservoir_inflow",506,"506:WY:SNTL",8750,43.38939,-110.12943,FALSE,"170401"
"fontenelle_reservoir_inflow",353,"353:WY:SNTL",8650,42.964,-110.60973,TRUE,"140401"
"green_r_bl_howard_a_hanson_dam",672,"672:WA:SNTL",4030,47.37406,-121.44213,FALSE,"171100"
"green_r_bl_howard_a_hanson_dam",420,"420:WA:SNTL",3200,47.27666,-121.67138,TRUE,"171100"
"green_r_bl_howard_a_hanson_dam",679,"679:WA:SNTL",5130,46.78265,-121.74765,FALSE,"171100"
"green_r_bl_howard_a_hanson_dam",788,"788:WA:SNTL",3850,47.27427,-121.34162,TRUE,"171100"
"hungry_horse_reservoir_inflow",664,"664:MT:SNTL",6040,48.15678,-113.94637,FALSE,"170102"
"hungry_horse_reservoir_inflow",482,"482:MT:SNTL",6300,48.80225,-113.85713,FALSE,"170102"
"hungry_horse_reservoir_inflow",693,"693:MT:SNTL",5930,48.30305,-113.32868,FALSE,"100302"
"hungry_horse_reservoir_inflow",562,"562:MT:SNTL",4750,47.42749,-113.77515,FALSE,"170102"
"libby_reservoir_inflow",482,"482:MT:SNTL",6300,48.80225,-113.85713,FALSE,"170102"
"libby_reservoir_inflow",787,"787:MT:SNTL",6030,48.90902,-114.86298,TRUE,"170101"
"libby_reservoir_inflow",323,"323:ID:SNTL",5400,48.30577,-116.07448,FALSE,"170102"
"libby_reservoir_inflow",311,"311:MT:SNTL",5600,48.5712,-115.44573,TRUE,"170101"
"merced_river_yosemite_at_pohono_bridge",587,"587:CA:SNTL",9249,38.43745,-119.36572,FALSE,"160503"
"merced_river_yosemite_at_pohono_bridge",771,"771:CA:SNTL",8770,38.31021,-119.6003,FALSE,"160503"
"merced_river_yosemite_at_pohono_bridge",846,"846:CA:SNTL",9400,38.07298,-119.23433,FALSE,"160503"
"merced_river_yosemite_at_pohono_bridge",575,"575:CA:SNTL",7198,38.30367,-119.55111,FALSE,"160503"
"missouri_r_at_toston",403,"403:MT:SNTL",8600,45.01788,-111.8456,TRUE,"100200"
"missouri_r_at_toston",328,"328:MT:SNTL",7850,44.94966,-111.35852,TRUE,"100200"
"missouri_r_at_toston",635,"635:MT:SNTL",8850,45.21759,-110.237,FALSE,"100700"
"missouri_r_at_toston",683,"683:WY:SNTL",9400,44.73396,-109.91484,FALSE,"100700"
"owyhee_r_bl_owyhee_dam",445,"445:NV:SNTL",6260,41.96737,-118.18934,FALSE,"160402"
"owyhee_r_bl_owyhee_dam",454,"454:NV:SNTL",7332,41.661,-115.3234,FALSE,"160401"
"owyhee_r_bl_owyhee_dam",549,"549:NV:SNTL",8424,41.5136,-116.0117,TRUE,"170501"
"owyhee_r_bl_owyhee_dam",569,"569:NV:SNTL",6395,41.51542,-117.63197,FALSE,"160401"
"pecos_r_nr_pecos",708,"708:NM:SNTL",9507,35.92195,-106.39179,FALSE,"130201"
"pecos_r_nr_pecos",491,"491:NM:SNTL",9480,36.19418,-105.55742,FALSE,"130201"
"pueblo_reservoir_inflow",542,"542:CO:SNTL",10598,39.07543,-106.61154,FALSE,"140100"
"pueblo_reservoir_inflow",680,"680:CO:SNTL",9621,38.81982,-106.58962,FALSE,"140200"
"pueblo_reservoir_inflow",380,"380:CO:SNTL",10200,38.89435,-106.95327,FALSE,"140200"
"pueblo_reservoir_inflow",531,"531:CO:SNTL",11611,39.36092,-106.05999,FALSE,"101900"
"ruedi_reservoir_inflow",542,"542:CO:SNTL",10598,39.07543,-106.61154,FALSE,"140100"
"ruedi_reservoir_inflow",556,"556:CO:SNTL",9624,39.3172,-106.61501,TRUE,"140100"
"ruedi_reservoir_inflow",380,"380:CO:SNTL",10200,38.89435,-106.95327,FALSE,"140200"
"ruedi_reservoir_inflow",680,"680:CO:SNTL",9621,38.81982,-106.58962,FALSE,"140200"
"san_joaquin_river_millerton_reservoir",356,"356:CA:SNTL",8067,38.60801,-119.92455,FALSE,"180400"
"san_joaquin_river_millerton_reservoir",587,"587:CA:SNTL",9249,38.43745,-119.36572,FALSE,"160503"
"san_joaquin_river_millerton_reservoir",771,"771:CA:SNTL",8770,38.31021,-119.6003,FALSE,"160503"
"san_joaquin_river_millerton_reservoir",462,"462:CA:SNTL",8661,38.5497,-119.80468,FALSE,"160502"
"skagit_ross_reservoir",711,"711:WA:SNTL",4890,48.51865,-120.7358,FALSE,"171100"
"skagit_ross_reservoir",606,"606:WA:SNTL",5980,48.19798,-120.91678,FALSE,"170200"
"skagit_ross_reservoir",681,"681:WA:SNTL",4600,48.44488,-120.91551,FALSE,"170200"
"skagit_ross_reservoir",515,"515:WA:SNTL",6490,48.72047,-120.6586,FALSE,"171100"
"snake_r_nr_heise",506,"506:WY:SNTL",8750,43.38939,-110.12943,TRUE,"170401"
"snake_r_nr_heise",689,"689:WY:SNTL",8200,43.51687,-110.91258,TRUE,"170401"
"snake_r_nr_heise",868,"868:WY:SNTL",8080,42.81513,-110.83515,TRUE,"170401"
"snake_r_nr_heise",761,"761:ID:SNTL",7225,42.56248,-111.29797,FALSE,"170402"
"stehekin_r_at_stehekin",681,"681:WA:SNTL",4600,48.44488,-120.91551,TRUE,"170200"
"stehekin_r_at_stehekin",606,"606:WA:SNTL",5980,48.19798,-120.91678,FALSE,"170200"
"stehekin_r_at_stehekin",711,"711:WA:SNTL",4890,48.51865,-120.7358,FALSE,"171100"
"stehekin_r_at_stehekin",515,"515:WA:SNTL",6490,48.72047,-120.6586,FALSE,"171100"
"sweetwater_r_nr_alcova",342,"342:WY:SNTL",9080,42.6458,-109.25965,FALSE,"140401"
"sweetwater_r_nr_alcova",525,"525:WY:SNTL",10100,42.86984,-109.09455,FALSE,"100800"
"sweetwater_r_nr_alcova",826,"826:WY:SNTL",8700,42.69525,-108.89572,FALSE,"100800"
"sweetwater_r_nr_alcova",786,"786:WY:SNTL",8620,43.03313,-109.17025,FALSE,"100800"
"taylor_park_reservoir_inflow",680,"680:CO:SNTL",9621,38.81982,-106.58962,TRUE,"140200"
"taylor_park_reservoir_inflow",380,"380:CO:SNTL",10200,38.89435,-106.95327,FALSE,"140200"
"taylor_park_reservoir_inflow",542,"542:CO:SNTL",10598,39.07543,-106.61154,FALSE,"140100"
"taylor_park_reservoir_inflow",556,"556:CO:SNTL",9624,39.3172,-106.61501,FALSE,"140100"
"virgin_r_at_virtin",626,"626:UT:SNTL",9827,37.56933,-112.83849,FALSE,"160300"
"virgin_r_at_virtin",561,"561:UT:SNTL",9263,37.52664,-113.05386,TRUE,"150100"
"virgin_r_at_virtin",853,"853:UT:SNTL",9203,37.575,-112.90155,TRUE,"150100"
"virgin_r_at_virtin",514,"514:UT:SNTL",7792,37.48997,-112.57602,FALSE,"160300"
"weber_r_nr_oakley",392,"392:UT:SNTL",9171,40.85464,-111.04765,FALSE,"160201"
"weber_r_nr_oakley",435,"435:UT:SNTL",8008,40.2953,-111.25677,FALSE,"140600"
"weber_r_nr_oakley",330,"330:UT:SNTL",8280,40.61233,-111.09782,FALSE,"160202"
"weber_r_nr_oakley",820,"820:UT:SNTL",8140,40.42817,-111.61633,FALSE,"160202"
"yampa_r_nr_maybell",457,"457:CO:SNTL",8271,40.5337,-106.7814,TRUE,"140500"
"yampa_r_nr_maybell",673,"673:WY:SNTL",9860,41.15426,-106.96926,FALSE,"101800"
"yampa_r_nr_maybell",852,"852:WY:SNTL",9260,41.1591,-106.92809,FALSE,"101800"
"yampa_r_nr_maybell",467,"467:CO:SNTL",8739,40.84758,-106.96861,TRUE,"140500"
"american_river_folsom_lake",587,"587:CA:SNTL",9249,38.43745,-119.36572,FALSE,"160503"
